CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
19.6	ka-	8	0.216585	0.0138524	0.284466	0.0176935	14	5
19.6	ka+	0	17.3758	1.05604	20.2145	1.19062	338	2
19.6	ka+	1	14.3059	0.880875	16.6884	1.00229	289	6
19.6	ka+	2	10.4347	0.630673	12.2405	0.715151	225	9
19.6	ka+	3	7.0143	0.432805	8.33637	0.503406	158	10
19.6	ka+	4	4.28708	0.262227	5.21346	0.312647	108	11
19.6	ka+	5	2.55722	0.155965	3.15027	0.188285	71	10
19.6	ka+	6	1.42974	0.0986884	1.78113	0.126857	44	9
19.6	ka+	7	0.695466	0.0435162	0.884086	0.0545135	26	7
19.6	ka+	8	0.32764	0.0206769	0.422133	0.0259985	14	5
19.6	proton	0	8.49466	0.743021	20.0245	1.67495	338	2
19.6	proton	1	6.84437	0.601154	16.2324	1.37361	289	6
19.6	proton	2	5.09057	0.449816	12.2334	1.04259	225	9
19.6	proton	3	3.11321	0.269551	7.97253	0.670982	158	10
19.6	proton	4	1.82013	0.157092	4.88802	0.408071	108	11
19.6	proton	5	1.09338	0.095575	3.01283	0.25649	71	10
19.6	proton	6	0.548175	0.046899	1.64324	0.13667	44	9
19.6	proton	7	0.271996	0.0233503	0.847408	0.0712056	26	7
19.6	proton	8	0.115014	0.0100155	0.387563	0.0333203	14	5
19.6	pbar	0	5.63904	0.4755	2.43827	0.204957	338	2
19.6	pbar	1	4.4984	0.382452	1.95666	0.166492	289	6
19.6	pbar	2	3.56041	0.298941	1.55433	0.130272	225	9
19.6	pbar	3	2.52651	0.214941	1.1101	0.0950603	158	10
19.6	pbar	4	1.71333	0.146825	0.761858	0.0658011	108	11
19.6	pbar	5	1.11518	0.0978335	0.499924	0.0444998	71	10
19.6	pbar	6	0.674842	0.0592167	0.306535	0.0270057	44	9
19.6	pbar	7	0.367125	0.0299475	0.169294	0.0137077	26	7
19.6	pbar	8	0.179079	0.0162499	0.0836745	0.00764555	14	5
19.6	pi0	0	64.9522	4.1483	137.961	8.4864	338	2
19.6	pi0	1	52.5123	3.49862	112.477	7.56089	289	6
