CollEn	particle	centrality	mass	dETdEta_TOT	dETdEta_TOT_err	dETdEtaExtrap	dETdEtaExtrap_err	Npart	Npart_err
130	ka+	6	0.49368	2.98699	0.426716	0.480661	0.0661886	61	8
130	ka+	7	0.49368	1.02609	0.135793	0.174769	0.0191396	23	5
130	ka-	0	0.49368	17.7125	3.10483	3.38457	1.59615	344	3
130	ka-	1	0.49368	14.4039	1.33376	2.94012	0.142239	289	5
130	ka-	2	0.49368	11.571	1.91472	2.23845	0.608952	237	7
130	ka-	3	0.49368	8.68458	1.06027	1.45192	0.148378	187	8
130	ka-	4	0.49368	6.27283	0.675365	1.07613	0.0989981	141	8
130	ka-	5	0.49368	4.19776	0.596843	0.586275	0.174937	100	9
130	ka-	6	0.49368	2.51122	0.409314	0.339765	0.156296	61	8
130	ka-	7	0.49368	1.02755	0.345369	0.204162	0.154109	23	5
130	pba	0	0.93827	15.8247	0.16543	3.58753	0.0457959	344	3
130	pba	1	0.93827	12.6772	0.330505	2.65933	0.260422	289	5
130	pba	2	0.93827	10.4168	0.620764	2.10446	0.512371	237	7
130	pba	3	0.93827	8.56738	0.405954	1.82236	0.270849	187	8
130	pba	4	0.93827	6.5318	0.416835	1.27041	0.35153	141	8
130	pba	5	0.93827	4.6962	0.348756	0.893005	0.330497	100	9
130	pba	6	0.93827	2.93074	0.0841735	0.514147	0.0189951	61	8
130	pba	7	0.93827	1.17064	0.0426917	0.201881	0.0149178	23	5
130	pro	0	0.93827	3.50023	0.0806051	1.93394	0.034964	344	3
130	pro	1	0.93827	2.68267	0.615185	1.41093	0.369044	289	5
130	pro	2	0.93827	2.073	0.500195	1.01835	0.283743	237	7
130	pro	3	0.93827	1.53619	0.0551339	0.691693	0.0187932	187	8
130	pro	4	0.93827	1.30128	0.0381766	0.417231	0.0105381	141	8
130	pro	5	0.93827	0.847948	0.0291359	0.227412	0.00902551	100	9
130	pro	6	0.93827	0.534923	0.0234853	0.155215	0.00790236	61	8
130	pro	7	0.93827	0.173632	0.0245453	0.0302783	0.0130155	23	5
130	eta	0	0.54786	8.24652	14.3731	2.04096	5.49655	344	3
130	eta	1	0.54786	6.41215	9.21148	1.36865	2.00868	289	5
130	eta	2	0.54786	5.38293	7.54905	1.2613	1.55789	237	7
130	eta	3	0.54786	3.96557	5.10414	0.884703	0.699683	187	8
130	eta	4	0.54786	2.89788	4.08878	0.634656	0.863645	141	8
130	eta	5	0.54786	1.95746	3.19941	0.410763	1.04397	100	9
130	eta	6	0.54786	1.13424	1.68447	0.229816	0.436838	61	8
130	eta	7	0.54786	0.409189	0.585887	0.073517	0.1253	23	5
