CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	pi0	4	0.13497	0.892323	0.00490516	0.0473637	0.00121935	2.9987	0.320454	83672.1	12489	8.65446	0.573355	2.24117	0	0.00164575	0	10.8973	0.573355	9.00357	0.596513	3.14472	0	0.00164887	0	12.1499	0.596513	16.1368	1.06556	10.2076	0	0.000747161	0	26.3451	1.06556	16.9908	1.12252	10.2076	0	0.000747161	0	27.1992	1.12252	110	11
7.7	pi0	5	0.13497	0.875437	0.0660002	0.0498504	0.0159067	3.11809	0.627392	43486.6	75710	5.4024	0.358139	1.48167	0.395241	0.00206119	0.000133906	6.88613	0.753513	5.62914	0.37321	2.07155	0.641242	0.00206594	0.000134212	7.70276	1.01459	10.2993	0.68157	6.72949	2.05266	0.00103175	0.000133906	17.0298	2.73436	10.8598	0.71902	6.72949	2.05266	0.00103175	6.67381e-05	17.5904	2.77175	72	10
7.7	pi0	6	0.13497	0.880188	0.0602682	0.0467796	0.014275	3.37355	0.864433	40775.6	72005.2	3.25723	0.215529	1.02623	0.296083	0.00152734	9.70005e-05	4.285	0.51171	3.39921	0.224969	1.4517	0.488554	0.00153129	9.7247e-05	4.85244	0.71362	6.34262	0.419546	4.71062	1.55635	0.000808034	9.70005e-05	11.054	1.976	6.69714	0.443244	4.71062	1.55635	0.000808034	5.10023e-05	11.4086	1.99965	45	9
7.7	pi0	7	0.13497	0.913573	0.00367491	0.036285	0.000918135	3.29284	0.463951	93177.8	16547	1.74873	0.116187	0.619683	0	0.000565833	0	2.36898	0.116187	1.82515	0.121273	0.906215	0	0.000567312	0	2.73193	0.121273	3.41964	0.226693	2.92005	0	0.000301475	0	6.33999	0.226693	3.60983	0.239413	2.92005	0	0.000301475	0	6.53017	0.239413	26	7
7.7	pi0	8	0.13497	0.900548	0.00478285	0.03719	0.00104535	2.65301	0.411726	35849.7	6656.95	0.847069	0.05698	0.280979	0	0.000579187	0	1.12863	0.05698	0.885143	0.0595282	0.403696	0	0.000581105	0	1.28942	0.0595282	1.68673	0.112763	1.30423	0	0.000346908	0	2.9913	0.112763	1.78188	0.119152	1.30423	0	0.000346908	0	3.08645	0.119152	14	4
7.7	ka-	0	0.49368	0.681451	0.0741066	0.0843762	0.0219779	3.09757	0.840317	20095.1	39913.8	3.81681	0.24112	0.209281	0.0178019	0.006293	0.00130574	4.03239	0.260228	4.99443	0.314026	0.600008	0.056387	0.00650269	0.0013456	5.60094	0.371758	4.53452	0.282122	0.38747	0.0333401	0.00319447	0.00130574	4.92518	0.316768	6.19462	0.384943	0.38747	0.0333401	0.00319447	0.000633859	6.58529	0.418917	337	2
7.7	ka-	1	0.49368	0.693054	0.0513071	0.0803524	0.0142332	3.05363	0.494946	24493.9	34408.8	3.12796	0.199171	0.178184	0.012238	0.004779	0.000721983	3.31093	0.212131	4.10318	0.25991	0.512075	0.0386341	0.00493892	0.000744369	4.62019	0.299288	3.73028	0.233717	0.329983	0.0229092	0.00243134	0.000721983	4.06269	0.257348	5.10858	0.31957	0.329983	0.0229092	0.00243134	0.000353324	5.44099	0.342833	290	6
7.7	ka-	2	0.49368	0.742174	0.0300491	0.068983	0.00866179	3.38732	0.301323	67963.8	77084.6	2.25426	0.141055	0.148412	0.0106406	0.00319913	0.000383234	2.40587	0.152078	2.97567	0.185495	0.431431	0.034193	0.00330686	0.000395345	3.4104	0.220083	2.70558	0.167046	0.275198	0.0199576	0.00163289	0.000383234	2.98241	0.187387	3.73378	0.23047	0.275198	0.0199576	0.00163289	0.000189407	4.01061	0.250617	226	8
7.7	ka-	3	0.49368	0.742429	0.0277595	0.0635747	0.0072887	3.41631	0.275332	102764	113956	1.48365	0.0939766	0.11074	0.00800547	0.00145601	0.00015547	1.59585	0.102138	1.97928	0.12485	0.324037	0.0260237	0.00150572	0.000160525	2.30482	0.151035	1.81167	0.113232	0.205492	0.0150337	0.000748475	0.00015547	2.01791	0.128421	2.52446	0.157666	0.205492	0.0150337	0.000748475	7.798e-05	2.7307	0.172778	160	10
7.7	ka-	4	0.49368	0.687563	0.0570523	0.0726071	0.013953	3.12036	0.413855	19260.2	31878.3	0.939161	0.0608464	0.0651743	0.0052369	0.000816981	0.000136515	1.00515	0.0662199	1.25497	0.0807517	0.18868	0.0168744	0.000844864	0.000140909	1.44449	0.0977671	1.15352	0.0733842	0.120797	0.00982595	0.000419896	0.000136515	1.27473	0.0833467	1.60734	0.101955	0.120797	0.00982595	0.000419896	6.81134e-05	1.72856	0.111849	110	11
7.7	ka-	5	0.49368	0.661393	0.0293425	0.0826148	0.0139899	5.03362	2.19656	4373.55	5796.63	0.544882	0.03654	0.0426123	0.00319498	0.000786339	0.00019953	0.588281	0.0399345	0.739831	0.049141	0.1233	0.0101032	0.000815844	0.000206402	0.863947	0.0594506	0.685085	0.0449368	0.0789774	0.00598222	0.000422276	0.00019953	0.764485	0.0511185	0.96909	0.0632408	0.0789774	0.00598222	0.000422276	0.000102598	1.04849	0.0693256	72	10
7.7	ka-	6	0.49368	0.634863	0.11506	0.0736113	0.0298968	3.44943	1.65686	6258.73	21593.8	0.293582	0.0213033	0.0247941	0.00315737	0.000222057	8.70684e-05	0.318598	0.0245477	0.402075	0.0287058	0.0719999	0.010346	0.000230628	9.02268e-05	0.474305	0.0391421	0.374865	0.0263426	0.0459713	0.00593598	0.000120998	8.70684e-05	0.420957	0.0323657	0.533709	0.0370955	0.0459713	0.00593598	0.000120998	4.5985e-05	0.579802	0.0430774	45	9
