CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr	fitStatus
11.5	ala	6	1.11568	0.573528	0.138567	0.0713515	0.0315088	4.01081	2.64593	739445	5.85419e+06	0.0436351	0.00819406	0.00555552	0.00298859	2.0485e-06	2.10754e-06	0.0491926	0.0111848	0.0773075	0.01587	0.0193967	0.0117533	2.23418e-06	2.29248e-06	0.0967064	0.0276256	0.017135	0.00328961	0.00240912	0.00130279	5.22794e-07	2.10754e-06	0.0195446	0.00459451	0.0308624	0.00647679	0.00240912	0.00130279	5.22794e-07	5.31821e-07	0.033272	0.00778011	20	14	1
11.5	la_	0	1.11568	0.541274	0.117153	0.117528	0.0255151	1.89221	0.814926	169474	420194	3.41581	0.195416	0.0368073	0.00460157	1.70793e-05	1.97879e-06	3.45263	0.20002	4.76512	0.295453	0.0977559	0.0128194	1.76674e-05	2.04595e-06	4.8629	0.308275	7.45689	0.570281	0.447098	0.0632623	5.25908e-06	1.97879e-06	7.90399	0.633545	11.9784	1.03701	0.447098	0.0632623	5.25908e-06	6.03666e-07	12.4255	1.10027	338	2	1
11.5	la_	1	1.11568	0.315972	0.518997	0.18686	0.0352853	7.32349	37.7409	1806.59	2741.53	2.71256	0.193997	0.0274655	0.0032406	2.19021e-05	1.12023e-05	2.74005	0.197249	3.79521	0.294446	0.0727073	0.00877469	2.26463e-05	1.1563e-05	3.86794	0.303233	5.99687	0.574236	0.330709	0.0413947	6.68567e-06	1.12023e-05	6.32759	0.615642	9.71559	1.05248	0.330709	0.0413947	6.68567e-06	3.30191e-06	10.0463	1.09387	291	6	1
11.5	la_	2	1.11568	0.454426	0.012094	0.13851	0.0019424	2.05055	0.331161	18693.4	2598.01	1.9596	0.117611	0.0224696	0.00126939	1.13789e-05	9.30247e-07	1.98208	0.118882	2.75543	0.17996	0.0596811	0.00342745	1.17692e-05	9.61677e-07	2.81512	0.183388	4.40514	0.355934	0.272978	0.0161001	3.49527e-06	9.30247e-07	4.67812	0.372035	7.1525	0.652622	0.272978	0.0161001	3.49527e-06	2.82926e-07	7.42548	0.668722	226	8	1
11.5	la_	3	1.11568	0.558392	0.0753847	0.117507	0.017828	3.0906	0.816023	70597.6	125354	1.19094	0.0896683	0.0160549	0.00234285	6.69125e-06	8.42582e-07	1.207	0.092012	1.68343	0.138782	0.0429116	0.006518	6.92111e-06	8.71045e-07	1.72635	0.145301	2.72383	0.281949	0.198323	0.0320981	2.05729e-06	8.42582e-07	2.92215	0.314048	4.43166	0.525512	0.198323	0.0320981	2.05729e-06	2.56241e-07	4.62998	0.55761	160	9	1
11.5	la_	4	1.11568	0.502956	0.113912	0.127126	0.0275342	3.32516	0.818798	19168.8	45101.6	0.702969	0.0679779	0.0102645	0.00167608	2.96215e-06	6.00983e-07	0.713236	0.0696546	1.01159	0.107683	0.0274064	0.00463855	3.06402e-06	6.21265e-07	1.039	0.112322	1.71898	0.229891	0.126465	0.0226598	9.11384e-07	6.00983e-07	1.84544	0.252552	2.88437	0.439997	0.126465	0.0226598	9.11384e-07	1.82654e-07	3.01083	0.462657	110	10	1
11.5	la_	5	1.11568	0.751961	0.502464	0.01	1.41421	0.01	1.41421	10000	1.41421	0.271107	0.0277014	5.06882e-55	2.21263e-26	1.19092e-74	6.60833e-35	0.271107	0.0277014	0.395033	0.043823	1.10031e-54	4.90428e-26	1.23589e-74	6.85466e-35	0.395033	0.043823	0.691446	0.0927662	3.59001e-54	1.65049e-25	3.89407e-75	6.60833e-35	0.691446	0.0927662	1.17504	0.175313	3.59001e-54	1.65049e-25	3.89407e-75	2.14274e-35	1.17504	0.175313	59	45	1
11.5	la_	6	1.11568	0.518165	0.143884	0.151422	0.00993304	58.4017	120.216	383.232	260.525	0.0614251	0.00817101	0.0011255	0.00013777	1.23539e-06	6.85486e-07	0.0625519	0.00830947	0.0932841	0.0135928	0.00302126	0.000376211	1.29113e-06	7.1547e-07	0.0963066	0.0139697	0.179315	0.0317229	0.0140358	0.00179644	4.53183e-07	6.85486e-07	0.193351	0.03352	0.317988	0.0629038	0.0140358	0.00179644	4.53183e-07	2.46403e-07	0.332025	0.0647005	20	14	1
19.6	ala	0	1.11568	0.43737	0.0106952	0.141377	0.00137051	0.605532	0.107391	2797.16	251.993	2.78132	0.0933275	0.0998462	0.00308712	3.83775e-06	2.51719e-07	2.88117	0.0964149	4.1803	0.147895	0.316181	0.0103568	3.95794e-06	2.59501e-07	4.49649	0.158252	1.0113	0.0343109	0.0431075	0.00133639	6.74963e-07	2.51719e-07	1.05441	0.0356475	1.55595	0.0560254	0.0431075	0.00133639	6.74963e-07	4.40372e-08	1.59906	0.0573618	338	2	1
19.6	ala	1	1.11568	0.474414	0.126577	0.136897	0.023758	0.779462	0.557147	3123.65	5262.22	2.3113	0.0897774	0.0813132	0.00333655	3.07333e-08	4.31011e-09	2.39261	0.0931139	3.46182	0.141682	0.257578	0.0112912	3.13324e-08	4.39342e-09	3.71939	0.152974	0.838949	0.0329332	0.0351074	0.00144497	4.4837e-09	4.31011e-09	0.874057	0.0343782	1.28625	0.0535636	0.0351074	0.00144497	4.4837e-09	6.26488e-10	1.32135	0.0550086	289	6	1
