Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
469	-11	0.116863	0.116862	91
471	22	0.0683136	0.0683136	91
471	11	0.427477	0.427477	91
472	-11	0.0125473	0.0125369	91
473	22	0.472752	0.472752	91
473	22	0.282024	0.282024	91
473	-11	0.304557	0.304556	91
474	22	0.0455741	0.0455741	91
478	-11	0.012806	0.0127959	91
478	11	0.0108886	0.0108767	91
479	22	0.0735714	0.0735714	91
481	11	0.188989	0.188988	91
481	-11	0.0495104	0.0495077	91
481	-11	0.00569737	0.00567449	91
484	22	0.348074	0.348074	91
485	22	1.46401	1.46401	91
487	11	0.149034	0.149033	91
487	11	0.0397988	0.0397955	91
487	-11	0.123433	0.123432	91
489	22	0.163627	0.163627	91
494	22	0.604152	0.604152	91
494	11	0.375957	0.375957	91
494	11	0.0569767	0.0569744	91
494	-11	0.0142914	0.0142823	91
494	11	0.201719	0.201719	91
494	-11	0.216733	0.216733	91
498	11	0.0137355	0.013726	91
500	22	0.0760052	0.0760052	91
500	22	0.240905	0.240905	91
500	22	0.905718	0.905718	91
501	22	0.641975	0.641975	91
504	22	0.379483	0.379483	91
505	22	0.538771	0.538771	91
505	22	0.126642	0.126642	91
510	11	0.127898	0.127897	91
510	-11	0.084948	0.0849465	91
518	22	0.285192	0.285192	91
519	22	0.17324	0.17324	91
526	22	0.132386	0.132386	91
526	22	0.144102	0.144102	91
527	11	0.239067	0.239066	91
527	-11	0.0849289	0.0849274	91
527	11	0.1392	0.1392	91
527	-11	0.0165719	0.016564	91
530	22	0.137953	0.137953	91
531	22	0.316106	0.316106	91
531	11	0.0300314	0.0300271	91
536	11	0.0456234	0.0456205	91
536	11	0.113237	0.113236	91
536	11	0.0189564	0.0189496	91
538	-11	0.0139181	0.0139088	91
539	22	0.38456	0.38456	91
541	22	0.0807543	0.0807543	91
543	22	0.275686	0.275686	91
549	22	0.195959	0.195959	91
549	11	0.0535075	0.053505	91
549	-11	0.013775	0.0137655	91
554	22	0.15538	0.15538	91
555	22	0.0864687	0.0864687	91
555	22	0.176811	0.176811	91
555	11	0.0208647	0.0208585	91
557	11	0.0593372	0.059335	91
565	22	0.239066	0.239066	91
565	11	0.160211	0.16021	91
565	22	0.0636694	0.0636694	91
567	22	0.165068	0.165068	91
568	22	0.447634	0.447634	91
574	22	0.200516	0.200516	91
577	11	0.00590163	0.00587964	91
578	22	0.3608	0.3608	91
579	11	0.0310151	0.0310109	91
579	-11	0.0943379	0.0943365	91
580	22	0.0671536	0.0671536	91
586	22	0.878966	0.878966	91
586	22	0.11454	0.11454	91
588	22	0.0796144	0.0796144	91
593	22	0.443574	0.443574	91
597	-11	0.115588	0.115587	91
598	11	0.0137499	0.0137404	91
600	-11	0.267504	0.267504	91
601	22	0.891107	0.891107	91
601	11	0.0159151	0.0159069	91
601	-11	0.0676267	0.0676248	91
601	-11	0.0440943	0.0440914	91
602	22	0.187178	0.187178	91
605	-11	0.0311712	0.031167	91
606	11	0.210923	0.210922	91
608	22	0.0646168	0.0646168	91
608	11	0.287356	0.287356	91
608	-11	0.0820179	0.0820163	91
612	22	0.0571285	0.0571285	91
619	22	0.334181	0.334181	91
619	22	0.0870016	0.0870016	91
621	11	0.0836827	0.0836811	91
622	11	0.194819	0.194819	91
622	-11	0.0499713	0.0499687	91
627	-11	0.0148106	0.0148018	91
628	22	0.436428	0.436428	91
628	22	0.114844	0.114844	91
629	22	0.466193	0.466193	91
630	22	0.0609289	0.0609289	91
633	22	0.0991649	0.0991649	91
636	-11	0.0219823	0.0219764	91
640	-11	0.023001	0.0229953	91
641	22	0.0610242	0.0610242	91
642	-11	0.259884	0.259883	91
642	11	0.0748609	0.0748592	91
642	-11	0.124319	0.124318	91
642	22	0.117162	0.117162	91
643	22	0.0834711	0.0834711	91
648	11	0.107807	0.107806	91
648	22	0.288218	0.288218	91
651	22	0.0917559	0.0917559	91
652	22	0.161913	0.161913	91
653	22	0.0338032	0.0338032	91
655	22	0.396927	0.396927	91
656	22	0.0758889	0.0758889	91
657	22	0.0807177	0.0807177	91
659	22	0.0631214	0.0631214	91
660	22	0.461058	0.461058	91
664	22	0.3638	0.3638	91
664	22	0.0527385	0.0527385	91
664	11	0.00277411	0.00272706	91
664	22	0.671415	0.671415	91
668	-11	0.00702392	0.00700541	91
668	11	0.0261977	0.0261927	91
669	22	0.0672026	0.0672026	91
673	22	0.0869837	0.0869837	91
674	-11	0.0021046	0.00204179	91
674	22	0.0664161	0.0664161	91
676	22	0.218121	0.218121	91
679	11	0.0798115	0.0798099	91
679	-11	0.0332905	0.0332865	91
680	11	0.0450072	0.0450043	91
680	-11	0.123137	0.123135	91
682	22	0.457123	0.457123	91
685	22	0.0283977	0.0283977	91
686	22	0.382128	0.382128	91
688	22	0.272682	0.272682	91
688	22	1.2726	1.2726	91
688	11	0.137347	0.137346	91
689	22	0.0461113	0.0461113	91
691	11	0.22454	0.224539	91
691	11	0.145891	0.14589	91
691	-11	0.0139535	0.0139441	91
691	11	0.00523	0.00520499	91
691	-11	0.102892	0.102891	91
691	22	0.066537	0.066537	91
693	22	0.0990041	0.0990041	91
693	11	0.0611735	0.0611714	91
693	22	0.0222541	0.0222541	91
694	11	0.0462344	0.0462316	91
694	-11	0.0225139	0.0225081	91
697	-11	0.0243179	0.0243125	91
698	22	0.1885	0.1885	91
699	22	0.0290561	0.0290561	91
709	22	0.0361273	0.0361273	91
710	11	0.00885793	0.00884318	91
710	-11	0.160678	0.160677	91
713	22	0.702784	0.702784	91
713	22	0.429915	0.429915	91
723	22	0.101254	0.101254	91
723	22	0.162314	0.162314	91
725	22	0.465057	0.465057	91
727	22	0.098074	0.098074	91
731	11	0.0793366	0.079335	91
731	-11	0.419082	0.419082	91
733	22	0.205737	0.205737	91
735	22	0.463346	0.463346	91
738	22	0.691081	0.691081	91
739	11	0.0460584	0.0460556	91
739	-11	0.0918336	0.0918322	91
741	22	0.0941063	0.0941063	91
744	22	0.381245	0.381245	91
744	22	0.0767191	0.0767191	91
744	22	0.115578	0.115578	91
745	22	1.17117	1.17117	62
746	22	0.187132	0.187132	91
748	22	0.11891	0.11891	91
748	11	0.0215413	0.0215352	91
752	11	0.220549	0.220549	91
752	-11	0.190049	0.190048	91
752	22	0.0611663	0.0611663	91
754	11	0.0735681	0.0735663	91
754	22	0.0479278	0.0479278	91
758	22	0.0648954	0.0648954	91
758	11	0.0823407	0.0823391	91
758	-11	0.0871138	0.0871123	91
758	22	0.124439	0.124439	91
768	22	0.150725	0.150725	91
771	22	0.122351	0.122351	91
773	11	0.0160734	0.0160653	91
774	22	0.0650298	0.0650298	91
777	22	0.209387	0.209387	91
779	22	0.0920457	0.0920457	91
780	22	0.216325	0.216325	91
788	11	0.101057	0.101056	91
791	-11	0.00637552	0.00635501	91
797	22	0.0815852	0.0815852	91
800	22	0.090353	0.090353	91
802	22	0.277056	0.277056	91
806	22	0.210335	0.210335	91
806	11	0.0687592	0.0687573	91
806	-11	0.043709	0.043706	91
809	22	0.0134916	0.0134916	91
814	22	0.146702	0.146702	91
814	22	0.0333744	0.0333744	91
815	11	0.270027	0.270027	91
815	-11	0.0647111	0.0647091	91
815	11	0.212308	0.212307	91
818	-11	0.0578196	0.0578173	91
822	-11	0.0504012	0.0503986	91
823	22	0.727697	0.727697	62
823	22	0.221253	0.221253	91
825	22	0.0186445	0.0186445	91
825	22	0.043893	0.043893	91
826	11	0.0348413	0.0348376	91
827	22	0.250328	0.250328	91
828	11	0.0157674	0.0157592	91
830	22	0.038876	0.038876	91
832	22	0.430577	0.430577	91
832	22	0.0903636	0.0903636	91
836	11	0.548713	0.548713	91
836	-11	0.0298842	0.0298799	91
838	11	0.225152	0.225151	91
838	-11	0.0407688	0.0407656	91
839	11	0.0151533	0.0151447	91
845	22	0.0389207	0.0389207	91
846	22	0.111315	0.111315	91
846	22	0.0334019	0.0334019	91
848	11	0.0224827	0.0224769	91
851	22	0.0422518	0.0422518	91
857	22	0.283502	0.283502	91
860	22	0.102388	0.102388	91
861	22	0.0713704	0.0713704	91
865	11	0.091411	0.0914096	91
866	11	0.00200749	0.00194178	91
868	11	0.00289182	0.00284632	91
869	22	0.776582	0.776582	91
869	-11	0.0583981	0.0583959	91
871	22	0.338686	0.338686	91
872	22	0.183369	0.183369	91
872	22	0.0817775	0.0817775	91
872	11	0.0683743	0.0683724	91
872	-11	0.0389206	0.0389173	91
872	11	0.117926	0.117925	91
872	-11	0.00368729	0.0036519	91
880	11	0.0194401	0.0194334	91
890	22	0.306684	0.306684	91
892	22	0.0424285	0.0424285	91
893	22	0.736132	0.736132	91
893	11	0.0878685	0.087867	91
893	-11	0.0339945	0.0339907	91
899	22	0.211836	0.211836	91
900	22	0.47062	0.47062	91
900	11	0.0503298	0.0503272	91
900	-11	0.10295	0.102949	91
902	11	0.0410309	0.0410277	91
902	-11	0.0381811	0.0381777	91
903	-13	0.32925	0.311846	91
903	11	0.0934805	0.0934791	91
909	11	0.0265704	0.0265655	91
912	-11	0.0912646	0.0912631	91
913	22	0.578373	0.578373	91
913	22	0.114453	0.114453	91
916	11	0.21731	0.217309	91
917	22	0.137487	0.137487	91
918	11	0.134677	0.134676	91
922	22	0.0686881	0.0686881	91
926	22	0.191157	0.191157	91
930	22	0.558685	0.558685	91
931	11	0.577134	0.577133	91
931	-11	0.115671	0.11567	91
935	11	0.0312188	0.0312147	91
935	-11	0.0621537	0.0621516	91
938	22	0.524625	0.524625	91
941	22	0.541198	0.541198	91
941	-11	0.0263477	0.0263428	91
942	11	0.0141947	0.0141855	91
943	22	0.421293	0.421293	91
943	22	0.147469	0.147469	91
943	22	0.151209	0.151209	91
947	22	0.651027	0.651027	91
950	22	0.201286	0.201286	91
950	11	0.0161244	0.0161164	91
951	22	0.0530853	0.0530853	91
959	11	0.117464	0.117463	91
959	-11	0.0571525	0.0571502	91
961	22	0.185109	0.185109	91
963	11	0.0301999	0.0301956	91
964	-11	0.0766265	0.0766248	91
964	11	0.149082	0.149081	91
967	22	0.241184	0.241184	91
967	-11	0.0175484	0.017541	91
968	11	0.108396	0.108395	91
968	-11	0.0649296	0.0649276	91
970	22	0.289592	0.289592	91
973	22	0.456208	0.456208	91
978	22	0.418659	0.418659	91
978	11	0.026497	0.0264921	91
978	-11	0.0133424	0.0133326	91
982	11	0.0367586	0.036755	91
982	-11	0.0321609	0.0321568	91
985	-11	0.00176399	0.00168852	91
986	-11	0.0288914	0.0288869	91
989	11	0.235773	0.235773	91
989	22	0.0849445	0.0849445	91
994	11	0.0644737	0.0644717	91
994	-11	0.089993	0.0899916	91
994	22	0.120945	0.120945	91
995	22	0.456972	0.456972	91
998	22	0.18181	0.18181	91
998	22	0.599636	0.599636	91
1002	22	0.266013	0.266013	91
1002	11	0.0639552	0.0639531	91
1004	-11	0.0170665	0.0170588	91
1004	11	0.0237959	0.0237905	91
1004	-11	0.238959	0.238959	91
1004	22	0.117704	0.117704	91
1005	22	0.113993	0.113993	91
1005	11	0.295858	0.295858	91
1005	-11	0.0704761	0.0704742	91
1006	11	0.00971839	0.00970499	91
1009	11	0.0272029	0.0271981	91
1011	22	0.283278	0.283278	91
1011	22	0.245167	0.245167	91
1011	22	0.266914	0.266914	91
1012	-11	0.0846817	0.0846801	91
1015	22	0.59043	0.59043	91
1015	11	0.29443	0.29443	91
1020	22	0.0619773	0.0619773	91
1020	22	0.101842	0.101842	91
1022	22	0.162152	0.162152	91
1024	11	0.0800127	0.0800111	91
1024	-11	0.0326829	0.0326789	91
1025	22	0.118411	0.118411	91
1028	22	0.178423	0.178423	91
1028	22	0.156739	0.156739	91
1038	22	0.377742	0.377742	91
1038	22	0.710631	0.710631	91
1039	22	0.015363	0.015363	91
1044	22	0.370363	0.370363	91
1044	-11	0.0209912	0.020985	91
1044	22	0.0444155	0.0444155	91
1044	11	0.0715243	0.0715225	91
1047	11	0.0735195	0.0735177	91
1048	22	0.073636	0.073636	91
1049	22	0.339574	0.339574	91
1050	22	0.375672	0.375672	91
1050	11	0.044646	0.044643	91
1050	11	0.149899	0.149898	91
1052	-11	0.0392751	0.0392718	91
1053	22	0.363786	0.363786	91
1053	11	0.0528525	0.0528501	91
1053	22	0.199451	0.199451	91
1053	22	0.391362	0.391362	91
1055	22	0.0774834	0.0774834	91
1055	-11	0.0399313	0.0399281	91
1057	22	0.36953	0.36953	91
1060	-11	0.00942114	0.00940728	91
1070	22	0.573142	0.573142	91
1072	22	0.457282	0.457282	91
1073	22	0.126027	0.126027	91
1079	22	0.0577024	0.0577024	91
1083	22	0.0172798	0.0172798	91
1085	22	0.076879	0.076879	91
1085	-11	0.0717047	0.0717029	91
1086	11	0.00455739	0.00452865	91
1087	11	0.00267951	0.00263037	91
1087	11	0.139969	0.139968	91
1087	-11	0.0928683	0.0928669	91
1087	22	0.193891	0.193891	91
1089	11	0.0655066	0.0655046	91
1089	-11	0.173184	0.173183	91
1090	22	0.522808	0.522808	91
1090	22	0.145981	0.145981	91
1090	22	0.0428851	0.0428851	91
1109	22	0.180998	0.180998	91
1109	22	0.510493	0.510493	91
1109	22	0.247694	0.247694	91
1111	11	0.339742	0.339742	91
1113	11	0.0746843	0.0746825	91
1113	-11	0.12095	0.120949	91
1114	22	0.536512	0.536512	91
1114	-11	0.105802	0.1058	91
1114	22	0.275447	0.275447	91
1114	22	0.0432148	0.0432148	91
1114	11	0.0128445	0.0128344	91
1114	-11	0.0229527	0.022947	91
1116	11	0.325408	0.325407	91
1116	-11	0.0575199	0.0575177	91
1118	11	0.0552566	0.0552542	91
1118	-11	0.0372564	0.0372529	91
1120	22	0.148551	0.148551	91
1120	22	0.054183	0.054183	91
1121	22	0.352069	0.352069	91
1121	-11	0.0635852	0.0635832	91
1129	22	0.152524	0.152524	91
1132	-11	0.0246953	0.02469	91
1134	22	0.0843796	0.0843796	91
1135	22	0.635155	0.635155	91
1135	22	0.0850736	0.0850736	91
1136	22	0.172162	0.172162	91
1138	22	0.0595962	0.0595962	91
1139	22	0.144899	0.144899	91
1141	22	0.392903	0.392903	91
1141	-11	0.094927	0.0949256	91
1141	-11	0.27375	0.273749	91
1143	-11	0.00520916	0.00518415	91
1149	22	0.579885	0.579885	91
1150	22	0.216506	0.216506	91
1152	22	0.387496	0.387496	91
1153	-11	0.128782	0.128781	91
1153	22	0.381702	0.381702	91
1154	22	0.116294	0.116294	91
1166	-11	0.0100609	0.010048	91
1166	22	0.996409	0.996409	91
1166	11	0.144369	0.144368	91
1166	-11	0.0527272	0.0527247	91
1166	11	0.0279458	0.0279412	91
1167	22	0.120924	0.120924	91
1170	22	0.0770486	0.0770486	91
1172	22	0.0675672	0.0675672	91
1172	22	0.317336	0.317336	91
1172	22	0.0362073	0.0362073	91
1179	22	0.0917467	0.0917467	91
1180	22	0.0552894	0.0552894	91
1182	22	0.347749	0.347749	91
1182	22	0.0654707	0.0654707	91
1182	22	0.195349	0.195349	91
1182	22	0.0407703	0.0407703	91
1183	-11	0.103287	0.103286	91
1184	11	0.641222	0.641222	91
1184	-11	0.9258	0.925799	91
1184	11	0.0362584	0.0362548	91
1185	-11	0.110653	0.110652	91
1186	22	0.123924	0.123924	91
1189	22	0.223007	0.223007	91
1197	22	0.35121	0.35121	91
1203	22	0.220069	0.220069	91
1206	-11	0.132317	0.132316	91
1206	-11	0.0818415	0.0818399	91
1207	11	0.281291	0.281291	91
1207	-11	0.0882618	0.0882603	91
1209	22	0.346961	0.346961	91
1209	22	0.1394	0.1394	91
1209	11	0.106829	0.106828	91
1209	-11	0.122096	0.122094	91
1209	22	0.0486013	0.0486013	91
1210	22	0.106737	0.106737	91
1210	22	0.0874867	0.0874867	91
1211	11	0.0123492	0.0123386	91
1213	-11	0.027431	0.0274262	91
1213	22	0.0537615	0.0537615	91
1214	11	0.0236578	0.0236523	91
1218	11	0.353219	0.353219	91
1218	-11	0.035216	0.0352123	91
1221	22	0.065235	0.065235	91
1224	11	0.0172791	0.0172715	91
1224	-11	0.0520012	0.0519987	91
1227	22	0.0762354	0.0762354	91
1234	11	0.200508	0.200507	91
1235	22	0.0960177	0.0960177	91
1242	22	0.149328	0.149328	91
1245	11	0.0792475	0.0792459	91
1247	22	0.117426	0.117426	91
1247	22	0.103454	0.103454	91
1249	11	0.00225376	0.00219521	91
1249	11	0.149423	0.149422	91
