Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
380	-11	0.032622	0.032618	91
380	11	0.103803	0.103802	91
380	-11	0.270125	0.270125	91
381	22	0.749927	0.749927	91
381	11	0.116757	0.116756	91
381	-11	0.0831579	0.0831563	91
382	22	0.337362	0.337362	91
382	11	0.0227208	0.0227151	91
382	-11	0.0350786	0.0350749	91
385	-11	0.216842	0.216841	91
386	11	0.0793526	0.079351	91
388	22	0.01987	0.01987	91
388	11	0.0142805	0.0142714	91
390	22	0.566829	0.566829	62
390	11	0.254832	0.254832	91
390	-11	0.00226768	0.00220958	91
394	22	0.471945	0.471945	91
395	11	0.0475971	0.0475944	91
395	-11	0.226726	0.226725	91
400	11	0.0568008	0.0567985	91
400	-11	0.280919	0.280919	91
400	11	0.0529214	0.0529189	91
400	-11	0.00601612	0.00599456	91
402	22	0.129085	0.129085	91
403	22	0.0912046	0.0912046	91
404	11	0.0773136	0.077312	91
404	-11	0.0951591	0.0951577	91
408	22	0.01875	0.01875	91
414	11	0.494864	0.494864	91
414	-11	0.0898801	0.0898786	91
415	11	0.0104135	0.0104011	91
415	-11	0.0908265	0.0908251	91
416	-11	0.0651948	0.0651928	91
416	11	0.0830371	0.0830355	91
416	-11	0.250579	0.250579	91
416	22	0.195514	0.195514	91
416	22	0.0335033	0.0335033	91
416	11	0.233942	0.233941	91
416	-11	0.0297691	0.0297648	91
416	22	0.324227	0.324227	91
416	11	0.0967911	0.0967898	91
416	-11	0.227281	0.227281	91
419	-11	0.0117368	0.0117257	91
419	22	0.136162	0.136162	91
420	-11	0.0659658	0.0659639	91
422	22	0.10298	0.10298	91
425	-11	0.0294765	0.0294721	91
425	11	0.0408218	0.0408186	91
426	-11	0.0297458	0.0297414	91
431	11	0.150176	0.150175	91
432	-11	0.0414958	0.0414927	91
434	11	0.0617762	0.0617741	91
434	-11	0.00118932	0.00107442	91
435	-11	0.0162729	0.0162649	91
437	11	0.0244184	0.0244131	91
440	22	0.0956943	0.0956943	91
442	11	0.286669	0.286668	91
442	-11	0.027152	0.0271472	91
443	-11	0.0121591	0.0121484	91
443	-11	0.063687	0.0636849	91
449	11	0.00830224	0.00828655	91
451	-11	0.0093164	0.00930245	91
452	11	0.083384	0.0833824	91
452	11	0.108073	0.108072	91
452	-11	0.142352	0.142351	91
454	11	0.354808	0.354807	91
454	-11	0.0652517	0.0652497	91
